ID,Amount
1,20000.00
2,15000.00
3,4420.00
4,6920.00
5,7600.00
6,4360.00
7,4380.00
8,4580.00
9,4580.00
10,10000.00
11,48815.00
12,29595.00
13,39675.00
14,31700.00
15,40780.00
16,11960.00
17,26200.00
18,10000.00
19,6900.00
20,3720.00
21,3900.00
22,9500.00
23,20180.00
24,300000.00
25,19742.00
26,16761.00
27,7900.00
28,4420.00
29,5000.00
30,5420.00
31,22684.00
32,12500.00
33,96886.00
34,4530.00
35,190220.00
36,10000.00
37,7000.00
38,6630.00
39,10000.00
40,2917.20
43,7000.00
44,2820.00
45,915.00
47,24280.00
48,8094.00
49,7000.00
50,9500.00
51,5210.00
52,4770.00
53,3920.00
54,15000.00
55,10500.00
56,5000.00
59,16000.00
60,5000.00
61,10000.00
62,10000.00
63,5530.00
64,14500.00
65,3600.00
66,3920.00
67,5000.00
68,24848.00
69,23032.00
70,199456.00
71,10000.00
72,9500.00
73,5000.00
74,11622.00
75,5528.00
76,19500.00
77,35000.00
78,9000.00
81,18500.00
82,3000.00
84,180000.00
85,4920.00
86,86925.00
87,10360.00
88,12220.00
89,10000.00
90,7000.00
91,20919.95
92,9096.00
93,19500.00
94,10000.00
95,5000.00
96,5000.00
97,24310.00
98,10500.00
99,19700.00
100,4920.00
101,2625.00
102,36930.00
103,1400.00
104,9500.00
105,5000.00
106,42394.00
107,220000.00
108,3968.00
109,17500.00
110,52500.00
111,14450.00
112,8260.00
113,35420.00
114,4972.50
115,9500.00
116,10000.00
117,9392.50
118,7500.00
119,18940.00
120,8680.00
121,6580.00
122,8380.00
123,32740.00
124,6960.00
125,1080.00
126,3920.00
127,22622.00
128,40000.00
130,3920.00
131,19720.00
132,21692.00
133,10000.00
134,53180.00
136,73620.00
137,4000.00
138,4880.00
139,17500.00
140,20772.00
141,17310.00
142,22705.00
143,22135.00
144,17500.00
145,10500.00
146,7000.00
147,3010.00
148,2000.00
149,11180.00
150,11320.00
151,7182.50
152,5180.00
153,75870.00
154,87900.00
155,9500.00
156,1152.00
157,960.00
158,8180.00
159,14000.00
160,13000.00
161,4920.00
163,16000.00
164,17500.00
165,10000.00
166,10000.00
167,21122.00
168,17500.00
169,7000.00
170,50350.00
171,58740.00
172,39200.00
173,24430.00
174,6140.00
175,1500.00
176,22890.00
177,3500.00
178,8000.00
179,7000.00
180,7000.00
181,50640.00
182,2350.00
183,448.00
184,10000.00
185,42390.00
186,7500.00
187,9392.50
188,15470.00
189,3920.00
190,15000.00
191,15000.00
193,42350.00
194,11905.00
195,11905.00
196,20000.00
197,3920.00
198,24400.00
199,12500.00
200,10011.00
201,9392.50
202,7500.00
203,9768.20
204,1596.00
205,24430.00
206,10000.00
207,7500.00
208,12920.00
209,2500.00
210,7500.00
211,10000.00
212,14050.00
213,13891.50
214,13920.00
215,7500.00
216,2340.00
217,3000.00
218,3490.00
219,8920.00
220,14800.00
221,6440.00
222,1520.00
223,7000.00
224,8520.00
225,29308.00
226,5250.00
227,5250.00
228,5140.00
229,5140.00
230,1380.00
231,1196.00
232,2047.00
233,12000.00
234,57515.00
235,4500.00
236,5500.00
237,1500.00
238,21840.00
239,6320.00
240,6000.00
241,63500.00
242,10000.00
244,6050.00
245,11905.00
246,7500.00
247,6000.00
248,1240.00
249,4000.00
250,2541.50
251,9393.00
252,488800.00
253,1105.00
254,12388.00
255,5480.00
256,63500.00
257,3920.00
258,76525.00
259,7920.00
260,2940.00
261,11400.00
262,27930.00
263,45420.00
264,15000.00
265,32000.00
266,3000.00
267,20000.00
268,17500.00
269,10910.00
270,40000.00
271,3827.00
272,21675.00
273,2000.00
274,6920.00
275,3920.00
276,9393.00
277,9393.00
278,3500.00
279,10000.00
280,3920.00
281,50000.00
282,289500.00
283,11250.00
284,299500.00
285,3920.00
286,80000.00
287,4500.00
288,11905.00
289,7027.00
290,5000.00
291,5000.00
292,5250.00
293,5250.00
294,4360.00
295,5900.00
296,2240.00
297,4660.00
298,24003.00
299,1080.00
300,10000.00
301,7500.00
302,6900.00
303,20.00
304,10000.00
305,3500.00
306,13920.00
307,24930.00
308,1280.00
309,7500.00
310,24495.00
311,2040.00
312,5920.00
313,4500.00
314,117000.00
315,3810.00
316,2240.00
317,26940.00
318,7500.00
319,10000.00
320,5000.00
321,5000.00
322,11905.00
323,23220.00
324,18444.00
325,25005.00
327,5000.00
328,10000.00
329,20000.00
330,7500.00
331,4000.00
332,6000.00
